                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9706,                 12.142,                 8.0261,                 4.7696,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.8541,                 4.2095,                 6.4211,                 3.9531,                3.7e-06,                3.7e-06,                3.7e-06
                      2,                 4.6911,                 10.631,                 8.2868,                 4.6314,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.9161,                 4.8053,                 6.5896,                 4.1275,             8.9022e-06,             8.9022e-06,             8.9022e-06
                      3,                 5.0222,                 11.098,                 7.3793,                 4.6075,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.9653,                 5.5119,                 6.6618,                 4.2419,             1.1174e-05,             1.1174e-05,             1.1174e-05
                      4,                 4.8056,                 9.3622,                 7.4668,                 4.4836,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.9422,                 6.0217,                 6.6924,                 4.2249,             1.0515e-05,             1.0515e-05,             1.0515e-05
                      5,                 4.7266,                 9.0572,                 6.1781,                  4.207,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.8508,                  6.458,                 6.9523,                 4.1625,             6.9264e-06,             6.9264e-06,             6.9264e-06
