                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 2.2671,                 1.4884,                 3.4152,                 1.8472,                0.10755,                0.19344,                 0.1139,                0.04448,                0.16999,                 0.1612,                0.10543,                0.04024,                 2.3584,                  1.587,                 6.1936,                 2.1069,             0.00013822,             0.00013822,             0.00013822
                     26,                 2.0664,                 1.3377,                 3.1469,                 1.8217,                0.05065,                0.51354,                0.12995,                0.05411,                0.04966,                0.48229,                0.12798,                0.04933,                 2.3488,                 1.5509,                  5.842,                 2.0626,               0.000142,               0.000142,               0.000142
                     27,                 2.0686,                 1.2255,                 3.0715,                 1.7034,                0.13077,                 0.2888,                0.13008,                 0.0531,                0.13095,                  0.286,                0.12994,                0.04665,                 2.4308,                 1.5306,                 5.4133,                 2.0977,             0.00014562,             0.00014562,             0.00014562
                     28,                 2.2673,                  1.629,                 3.1627,                 1.8343,                0.13077,                 0.2888,                0.13008,                 0.0531,                0.13095,                  0.286,                0.12994,                0.04665,                 2.4308,                 1.5306,                 5.4133,                 2.0977,              0.0001491,              0.0001491,              0.0001491
                     29,                 1.9205,                 1.1581,                 3.0845,                 1.7995,                0.11245,                0.34271,                 0.1618,                0.06457,                0.11331,                0.34271,                0.16132,                0.05586,                 2.4113,                 1.5423,                 5.7347,                 2.0641,             0.00015244,             0.00015244,             0.00015244
                     30,                 2.3803,                 1.3697,                  3.076,                 1.9459,                 0.4666,                0.14011,                 0.1224,                 0.0474,                0.46725,                 0.1375,                0.12461,                 0.0356,                 2.4641,                 1.5821,                 5.1623,                 2.0781,             0.00015563,             0.00015563,             0.00015563
                     31,                  2.194,                 1.1315,                  3.479,                 1.8217,                0.46691,                0.13884,                0.12546,                 0.0492,                0.46664,                 0.1375,                0.12759,                0.03695,                 2.4641,                 1.5821,                 5.1623,                 2.0781,             0.00015867,             0.00015867,             0.00015867
                     32,                 1.9219,                 1.2169,                 3.3116,                 1.6697,                0.35058,                0.15625,                0.15779,                0.05238,                0.35058,                0.15625,                 0.1565,                 0.0555,                 2.5582,                 1.5856,                 4.9842,                 2.1176,             0.00016156,             0.00016156,             0.00016156
                     33,                 2.1037,                 1.2062,                 3.2683,                 1.6728,                0.25162,                0.25625,                 0.1354,                0.05071,                0.26687,                0.21875,                0.16015,                0.05215,                 2.5118,                 1.5849,                 4.7325,                 2.0643,             0.00016431,             0.00016431,             0.00016431
                     34,                 2.0251,                 1.3953,                  3.131,                 1.7243,                0.25162,                0.25625,                 0.1354,                0.05071,                0.26687,                0.21875,                0.16015,                0.05215,                 2.5118,                 1.5849,                 4.7325,                 2.0643,             0.00016691,             0.00016691,             0.00016691
